x_0,x_1,class
0.9723543051809806,-0.494777852662301,-1
0.2935435107395923,0.8673929851150062,1
0.8704018785996627,-0.13307082440252582,-1
-0.33848248416914084,0.6949179072719228,-1
-0.3102187923969223,0.6511460764991583,-1
-0.5752729807105824,0.02641748207525596,-1
-0.26642082387760835,-0.8813591562891407,1
0.09143753511622177,0.5592802015214093,1
0.43914874767856515,-0.7131573495431671,-1
-0.3110690286632749,0.6489500803070352,-1
0.3273183770553252,-0.34161229988609154,-1
-0.6679558991789235,0.13540228628618567,-1
0.6444835080417092,0.058334763924230426,1
-0.2262471954699763,-0.8185952927372432,1
0.9613382719691436,-0.13009248848499833,-1
-0.9429674096608779,-0.6144667901276792,1
-0.3539768194261509,-0.17757531790165082,1
-0.533272005465143,0.41283855923250534,-1
0.690023380762835,0.8192960217859694,1
0.7987324466902052,-0.15124518202574455,-1
0.46287388457005274,0.170844327243176,1
0.6050747584291433,0.11831657034927534,1
0.06576258913231592,-0.8452729379250171,-1
0.9408859276557132,-0.3125443851844556,-1
-0.3292742138595717,-0.9867834164185109,1
0.12014724628937157,-0.47030485624774754,-1
-0.16417824992729735,-0.7208281853927305,1
0.23476462283151178,-0.2515347751010818,-1
0.6201111424251343,0.5628588944066321,1
-0.35647718423509045,0.5576872953667934,-1
-0.2991091671205016,0.242362562235805,-1
0.38184807544142985,-0.7224934518828309,-1
-0.5690570829053767,0.3836924022095727,-1
-0.5555134360911567,-0.31766087134784593,1
-0.8229228858191872,0.004621659832725333,-1
0.2768303059150137,0.7463576112401024,1
0.6130897192316271,-0.2214185415290968,-1
-0.8004754196931859,0.9133309843023594,-1
0.5960015367350558,0.9083764562930385,1
-0.13831083828732238,-0.5725037126472767,1
0.4179940122495487,0.5338426434660289,1
0.334551307246748,0.49016335201078354,1
0.6648678650027051,0.9132350386448022,1
0.15088969666617813,0.45297489735997176,1
0.24958050469318838,0.30355875303487856,1
0.7405924206116528,-0.43384360002440114,-1
0.11608362683575368,0.9859133280693295,1
0.6506608348797285,-0.4899702624684723,-1
0.45496742297422255,0.11270804505408405,1
0.5632956203303027,0.4072177076223539,1
0.7151108987725616,0.5890576522773642,1
-0.890638435896025,0.42619311320618714,-1
0.5997365788825727,-0.6698859542457252,-1
0.31264755689647505,0.6999228429305894,1
-0.27265371317025966,0.2590269219367872,-1
0.6877978062299545,-0.8842058315635131,-1
-0.1027300028434629,0.3801848465558886,-1
-0.5918784051838533,-0.19110330068709125,1
0.26195304115945495,-0.6704888187563005,-1
0.04074619876747776,-0.09595201466390868,-1
0.4863620540280674,0.5097283594992947,1
-0.1534739862603829,0.19172163478239146,-1
0.3961631187309127,0.6524609697484106,1
0.5321931998692556,0.04876198905750695,1
0.9876956607000954,-0.8230734975768785,-1
0.8053210715198387,-0.4446286033857718,-1
-0.4888595081725464,0.9065705027318526,-1
0.6426551071861727,0.44737057172466765,1
0.9382423347229671,0.06702638993313825,1
-0.9610425763919738,0.4708750514217097,-1
0.09079910442831574,-0.9795132595648345,-1
-0.8832474829516443,0.26328016616746786,-1
0.09151996603979162,-0.6249650526877221,-1
0.5308560686316557,0.24449041876829214,1
0.321549037447575,0.3649874872704467,1
-0.15623074783717195,0.6084695147161333,-1
0.6415006748317192,0.052595181748882225,1
0.8220448914820514,-0.569907594716319,-1
0.492728619368614,-0.27430729612102833,-1
-0.5990378759700157,0.500598891625164,-1
-0.5202187405415173,-0.7016587041918874,1
0.23236879460674198,0.036332890755991776,1
0.714057895775144,0.6769531410468613,1
0.48509403302597354,0.5698246174543137,1
0.2880902639443841,-0.005049333603032058,-1
0.6524937339704722,0.8184811097397403,1
-0.517388872437363,0.40163850951115376,-1
-0.9257116292485531,0.11920597241948383,-1
0.7438331946100942,-0.965548146882221,-1
0.04925066072949269,0.19523776348499333,1
0.18721369561092127,-0.04436684205010455,-1
0.06075957231024531,0.5512205110420091,1
0.6063123687243126,0.8488444786039288,1
-0.8016035626318404,0.4892562890231327,-1
0.3136339950856354,-0.42700548257338733,-1
-0.7634224963016476,0.4274779644505712,-1
-0.12685748228066318,0.22692934250174523,-1
-0.05717289539869541,0.7898306996234146,-1
0.94748878394013,0.21641015969782829,1
-0.554113233793313,0.4907886632143278,-1
